Codigo,Descripcion,Costo,Precio2,,
002002,24086   LINTERNA RECARGABLE DE 15 LED       «PRETUL»,33.74,44.55,,
002003,"20531   CAJA P/HERRAMIENTAS 13""     «PRETUL»",17.35,22.9,,
002004,23260   GUANTE LATEX LIMPIEZA MED.     «PRETUL»,7.73,10.25,,
002005,20402 LENTES SEGURIDAD NEGROS  ««PRETUL»»,9.78,12.95,,
002006,24080   LINTERNA RECARGABLE 5 LED    «PRETUL»,25.36,33.5,,
002007,24082   LINTERNA RECARGABLE 7 LEDS     «PRETUL»,24.47,32.55,,
002008,21687 COMPRESOR 2 HP 50 LTS   ««PRETUL»»,999.99,1325,,
002009,21624 CINTA METRICA 5.5 MTS COLORES ««PRETUL»»,20.02,26.45,,
002010,46136  LAMPARITA NOCHE SANTA CLAUS    «PRETUL»,9.92,13.25,,
002011,46137  LAMPARITA DE NOCHE PINO NAVIDAD  ««PRETUL»»,10.35,14.95,,
002012,47302  LAMPARA PARA GABINETE 8W  ««VOLTECH»»,55.89,74,,
002013,22132   MANGUERA 2 CAPAS P/AGUA 1/2 X 15M.    «PRETUL»,40.84,53.95,,
002014,46130  LAMPARITA DE NOCHE FLOR  «VOLTECH»,10.23,13.5,,
002015,46131 LAMPARITA DE NOCHE CORONA  «VOLTECH»,10.23,13.5,,
002016,46132 LAMPARITA DE NOCHE CATARINA «VOLTECH»,10.23,13.5,,
002017,46133  LAMPARITA DE NOCHE  SOCCER    «VOLTECH»,9.78,13.5,,
002018,46134  LAMPARITA DE NOCHE BLN AMERICANO     «VOLTECH»,9.78,13.5,,
002019,46135  LAMPARITA DE NOCHE PERRO    «VOLTECH»,10.23,13.5,,
002020,46151  LAMPARITA DE NOCHE LED CORAZON «VOLTECH»,9.3,13.5,,
002021,46152 LAMPARITA DE NOCHE ESTRELLA «VOLTECH»,9.3,13.5,,
002022,"23974   JGO. COPAS RAIZ 1/4 Y 3/8"" 29 PCS.    «PRETUL»",80.09,105.75,,
002023,"21002   CEPILLO ALAMBRE 2"" ZANCO 1/4     «PRETUL»",6.76,8.45,,
002024,22719   JGO. HERRAMIENTAS 105PCS.    «PRETUL»,93.44,123.5,,
002025,26005   CARETA PARA SOLDAR     «PRETUL»,57.84,76.35,,
002026,20182   CALIBRADOR DOBLE P/AIRE 50 LBS.     «PRETUL»,14.68,19.5,,
002027,"21454   CALIBRADOR VERNIER DE 5""    «PRETUL»",27.14,35.85,,
002028,22324    LAMPARA QUINQUE PLATA A GAS    «PRETUL»,38.21,50.45,,
002029,24089   LINTERNA RECARGABLE 4 LED   «PRETUL»,22.69,29.95,,
002030,20050   CONECTON EN -Y- PLASTICO    «PRETUL»,11.12,14.75,,
002031,"21522   ESPATULA RIGIDA 2"" MGO. PLASTICO    «PRETUL»",15.12,19.95,,
002032,22328   PIE MECHA P/LAMPARA QUINQE    «PRETUL»,0.51,1,,
002033,22021 KIT TENSOR ELASTICO 8PCS.    «PRETUL»,32.03,42.25,,
002034,"25016   MANGUERA P/AGUA REFORZ. 1/2"" X 10MTS.    «PRETUL»",32.03,42.25,,
002035,22612   ALICATE INDUST. P/ELECTRICISTA 9PLG.    «PRETUL»,37.82,49.95,,
002036,21161   RACHET CABEZA DE PERA RAIZ 3/8    «PRETUL»,77.39,102.15,,
002037,23975   JGO. PINZA P/ELETRICISTA 3PCS.     «PRETUL»,62.29,82.25,,
003001,"FILTRO DE ACERO INOXID.      1/2""   NPT",0,0,,
003002,"FILTRO DE ACERO INOXID.      3/4""   NPT",4.75,5.8,,
003003,"FILTRO DE ACERO INOXID.      1""   NPT",5.75,7,,
003004,"FILTRO DE ACERO INOXID.   1  1/4""   NPT",7,8.55,,
